Entity,Code,Day,total_boosters_per_hundred
Africa,,10/28/2021,0
Africa,,10/29/2021,0
Africa,,10/30/2021,0.01
Africa,,10/31/2021,0.01
Africa,,11/1/2021,0.01
Africa,,11/2/2021,0.01
Africa,,11/3/2021,0.01
Africa,,11/4/2021,0.01
Africa,,11/5/2021,0.01
Africa,,11/6/2021,0.01
Africa,,11/7/2021,0.01
Africa,,11/8/2021,0.01
Africa,,11/9/2021,0.02
Africa,,11/10/2021,0.02
Africa,,11/11/2021,0.02
Africa,,11/12/2021,0.02
Africa,,11/13/2021,0.02
Africa,,11/14/2021,0.02
Africa,,11/15/2021,0.02
Africa,,11/16/2021,0.02
Africa,,11/17/2021,0.02
Africa,,11/18/2021,0.02
Africa,,11/19/2021,0.02
Africa,,11/20/2021,0.02
Africa,,11/21/2021,0.02
Africa,,11/22/2021,0.02
Africa,,11/23/2021,0.03
Africa,,11/24/2021,0.03
Africa,,11/25/2021,0.03
Africa,,11/26/2021,0.03
Africa,,11/27/2021,0.03
Africa,,11/28/2021,0.03
Africa,,11/29/2021,0.03
Africa,,11/30/2021,0.03
Africa,,12/1/2021,0.03
Africa,,12/2/2021,0.03
Africa,,12/3/2021,0.03
Africa,,12/4/2021,0.03
Africa,,12/5/2021,0.04
Africa,,12/6/2021,0.04
Africa,,12/7/2021,0.04
Africa,,12/8/2021,0.04
Africa,,12/9/2021,0.04
Africa,,12/10/2021,0.04
Africa,,12/11/2021,0.04
Africa,,12/12/2021,0.04
Africa,,12/13/2021,0.05
Africa,,12/14/2021,0.05
Africa,,12/15/2021,0.05
Africa,,12/16/2021,0.05
Africa,,12/17/2021,0.05
Africa,,12/18/2021,0.05
Africa,,12/19/2021,0.05
Africa,,12/20/2021,0.05
Africa,,12/21/2021,0.05
Africa,,12/22/2021,0.05
Africa,,12/23/2021,0.06
Africa,,12/24/2021,0.06
Africa,,12/25/2021,0.06
Africa,,12/26/2021,0.06
Africa,,12/27/2021,0.06
Africa,,12/28/2021,0.06
Africa,,12/29/2021,0.06
Africa,,12/30/2021,0.06
Africa,,12/31/2021,0.06
Africa,,1/1/2022,0.07
Africa,,1/2/2022,0.07
Africa,,1/3/2022,0.07
Africa,,1/4/2022,0.07
Africa,,1/5/2022,0.07
Africa,,1/6/2022,0.07
Africa,,1/7/2022,0.07
Africa,,1/8/2022,0.07
Africa,,1/9/2022,0.07
Africa,,1/10/2022,0.07
Africa,,1/11/2022,0.08
Africa,,1/12/2022,0.08
Africa,,1/13/2022,0.08
Africa,,1/14/2022,0.08
Africa,,1/15/2022,0.08
Africa,,1/16/2022,0.08
Africa,,1/17/2022,0.11
Africa,,1/18/2022,0.11
Africa,,1/19/2022,0.11
Africa,,1/20/2022,0.12
Africa,,1/21/2022,0.17
Africa,,1/22/2022,0.17
Africa,,1/23/2022,0.18
Africa,,1/24/2022,0.18
Africa,,1/25/2022,0.18
Africa,,1/26/2022,0.19
Africa,,1/27/2022,0.19
Africa,,1/28/2022,0.19
Africa,,1/29/2022,0.19
Africa,,1/30/2022,0.19
Africa,,1/31/2022,0.19
Africa,,2/1/2022,0.19
Africa,,2/2/2022,0.2
Africa,,2/3/2022,0.2
Africa,,2/4/2022,0.2
Africa,,2/5/2022,0.2
Africa,,2/6/2022,0.2
Africa,,2/7/2022,0.2
Africa,,2/8/2022,0.21
Africa,,2/9/2022,0.21
Africa,,2/10/2022,0.21
Africa,,2/11/2022,0.22
Africa,,2/12/2022,0.22
Africa,,2/13/2022,0.22
Africa,,2/14/2022,0.22
Africa,,2/15/2022,0.22
Africa,,2/16/2022,0.22
Africa,,2/17/2022,0.79
Africa,,2/18/2022,0.79
Africa,,2/19/2022,0.8
Africa,,2/20/2022,0.8
Africa,,2/21/2022,0.8
Africa,,2/22/2022,0.8
Africa,,2/23/2022,0.81
Africa,,2/24/2022,0.94
Africa,,2/25/2022,0.94
Africa,,2/26/2022,0.94
Africa,,2/27/2022,0.94
Africa,,2/28/2022,0.95
Africa,,3/1/2022,0.95
Africa,,3/2/2022,0.95
Africa,,3/3/2022,0.95
Africa,,3/4/2022,1.01
Africa,,3/5/2022,1.01
Africa,,3/6/2022,1.01
Africa,,3/7/2022,1.01
Africa,,3/8/2022,1.01
Africa,,3/9/2022,1.02
Africa,,3/10/2022,1.06
Africa,,3/11/2022,1.07
Africa,,3/12/2022,1.07
Africa,,3/13/2022,1.07
Africa,,3/14/2022,1.09
Africa,,3/15/2022,1.09
Africa,,3/16/2022,1.09
Africa,,3/17/2022,1.12
Africa,,3/18/2022,1.13
Africa,,3/19/2022,1.13
Africa,,3/20/2022,1.16
Africa,,3/21/2022,1.17
Africa,,3/22/2022,1.17
Africa,,3/23/2022,1.18
Africa,,3/24/2022,1.2
Africa,,3/25/2022,1.2
Africa,,3/26/2022,1.21
Africa,,3/27/2022,1.31
Africa,,3/28/2022,1.31
Africa,,3/29/2022,1.33
Africa,,3/30/2022,1.34
Africa,,3/31/2022,1.36
Africa,,4/1/2022,1.37
Africa,,4/2/2022,1.37
Africa,,4/3/2022,1.38
Africa,,4/4/2022,1.38
Africa,,4/5/2022,1.38
Africa,,4/6/2022,1.39
Africa,,4/7/2022,1.4
Africa,,4/8/2022,1.4
Africa,,4/9/2022,1.4
Africa,,4/10/2022,1.41
Africa,,4/11/2022,1.41
Africa,,4/12/2022,1.43
Africa,,4/13/2022,1.43
Africa,,4/14/2022,1.44
Africa,,4/15/2022,1.44
Africa,,4/16/2022,1.44
Africa,,4/17/2022,1.44
Africa,,4/18/2022,1.44
Africa,,4/19/2022,1.44
Africa,,4/20/2022,1.44
Africa,,4/21/2022,1.44
Africa,,4/22/2022,1.44
Africa,,4/23/2022,1.46
Africa,,4/24/2022,1.47
Africa,,4/25/2022,1.47
Africa,,4/26/2022,1.54
Africa,,4/27/2022,1.54
Africa,,4/28/2022,1.54
Africa,,4/29/2022,1.55
Africa,,4/30/2022,1.56
Africa,,5/1/2022,1.6
Africa,,5/2/2022,1.6
Africa,,5/3/2022,1.6
Africa,,5/4/2022,1.61
Africa,,5/5/2022,1.61
Africa,,5/6/2022,1.62
Africa,,5/7/2022,1.62
Africa,,5/8/2022,1.64
Africa,,5/9/2022,1.64
Africa,,5/10/2022,1.65
Africa,,5/11/2022,1.65
Africa,,5/12/2022,1.65
Africa,,5/13/2022,1.66
Africa,,5/14/2022,1.67
Africa,,5/15/2022,1.68
Africa,,5/16/2022,1.69
Africa,,5/17/2022,1.69
Africa,,5/18/2022,1.69
Africa,,5/19/2022,1.69
Africa,,5/20/2022,1.7
Africa,,5/21/2022,1.7
Africa,,5/22/2022,1.71
Africa,,5/23/2022,1.71
Africa,,5/24/2022,1.71
Africa,,5/25/2022,1.72
Africa,,5/26/2022,1.72
Africa,,5/27/2022,1.72
Africa,,5/28/2022,1.72
Africa,,5/29/2022,1.74
Africa,,5/30/2022,1.74
Africa,,5/31/2022,1.75
Africa,,6/1/2022,1.75
Africa,,6/2/2022,1.75
Africa,,6/3/2022,1.75
Africa,,6/4/2022,1.75
Africa,,6/5/2022,1.76
Africa,,6/6/2022,1.76
Africa,,6/7/2022,1.76
Africa,,6/8/2022,1.76
Africa,,6/9/2022,1.76
Africa,,6/10/2022,1.77
Africa,,6/11/2022,1.77
Africa,,6/12/2022,1.77
Africa,,6/13/2022,1.77
Africa,,6/14/2022,1.88
Africa,,6/15/2022,1.89
Africa,,6/16/2022,1.89
Africa,,6/17/2022,1.89
Africa,,6/18/2022,1.89
Africa,,6/19/2022,1.96
Africa,,6/20/2022,1.98
Africa,,6/21/2022,1.99
Africa,,6/22/2022,1.99
Africa,,6/23/2022,1.99
Africa,,6/24/2022,1.99
Africa,,6/25/2022,1.99
Africa,,6/26/2022,2.11
Africa,,6/27/2022,2.14
Africa,,6/28/2022,2.14
Africa,,6/29/2022,2.17
Africa,,6/30/2022,2.17
Africa,,7/1/2022,2.17
Africa,,7/2/2022,2.17
Africa,,7/3/2022,2.2
Africa,,7/4/2022,2.2
Africa,,7/5/2022,2.22
Africa,,7/6/2022,2.22
Africa,,7/7/2022,2.22
Africa,,7/8/2022,2.22
Africa,,7/9/2022,2.22
Africa,,7/10/2022,2.27
Africa,,7/11/2022,2.27
Africa,,7/12/2022,2.27
Africa,,7/13/2022,2.27
Africa,,7/14/2022,2.28
Africa,,7/15/2022,2.28
Africa,,7/16/2022,2.3
Africa,,7/17/2022,2.33
Africa,,7/18/2022,2.34
Africa,,7/19/2022,2.38
Africa,,7/20/2022,2.38
Africa,,7/21/2022,2.38
Africa,,7/22/2022,2.38
Africa,,7/23/2022,2.38
Africa,,7/24/2022,2.4
Africa,,7/25/2022,2.4
Africa,,7/26/2022,2.4
Africa,,7/27/2022,2.44
Africa,,7/28/2022,2.44
Africa,,7/29/2022,2.44
Africa,,7/30/2022,2.44
Africa,,7/31/2022,2.48
Africa,,8/1/2022,2.48
Africa,,8/2/2022,2.49
Africa,,8/3/2022,2.49
Africa,,8/4/2022,2.49
Africa,,8/5/2022,2.49
Africa,,8/6/2022,2.49
Africa,,8/7/2022,3.18
Africa,,8/8/2022,3.18
Africa,,8/9/2022,3.18
Africa,,8/10/2022,3.18
Africa,,8/11/2022,3.18
Africa,,8/12/2022,3.18
Africa,,8/13/2022,3.18
Africa,,8/14/2022,3.28
Africa,,8/15/2022,3.3
Africa,,8/16/2022,3.3
Africa,,8/17/2022,3.3
Africa,,8/18/2022,3.3
Africa,,8/19/2022,3.3
Africa,,8/20/2022,3.3
Albania,ALB,11/3/2021,0.1
Albania,ALB,11/6/2021,0.29
Albania,ALB,11/7/2021,0.31
Albania,ALB,11/9/2021,0.52
Albania,ALB,11/10/2021,0.65
Albania,ALB,11/11/2021,0.76
Albania,ALB,11/14/2021,0.98
Albania,ALB,11/16/2021,1.22
Albania,ALB,11/17/2021,1.34
Albania,ALB,11/18/2021,1.46
Albania,ALB,11/21/2021,1.66
Albania,ALB,11/24/2021,2.01
Albania,ALB,11/25/2021,2.12
Albania,ALB,11/28/2021,2.29
Albania,ALB,11/30/2021,2.36
Albania,ALB,12/1/2021,2.47
Albania,ALB,12/3/2021,2.74
Albania,ALB,12/5/2021,2.88
Albania,ALB,12/6/2021,3
Albania,ALB,12/7/2021,3.13
Albania,ALB,12/8/2021,3.2
Albania,ALB,12/12/2021,3.54
Albania,ALB,12/13/2021,3.68
Albania,ALB,12/14/2021,3.84
Albania,ALB,12/15/2021,3.98
Albania,ALB,12/18/2021,4.31
Albania,ALB,12/21/2021,4.57
Albania,ALB,12/23/2021,4.77
Albania,ALB,12/28/2021,5.04
Albania,ALB,1/4/2022,5.29
Albania,ALB,1/5/2022,5.38
Albania,ALB,1/8/2022,5.7
Albania,ALB,1/10/2022,5.83
Albania,ALB,1/11/2022,5.93
Albania,ALB,1/30/2022,7.08
Albania,ALB,2/1/2022,7.19
Albania,ALB,2/6/2022,7.43
Albania,ALB,2/7/2022,7.48
Albania,ALB,2/13/2022,7.75
Albania,ALB,2/14/2022,7.79
Albania,ALB,2/15/2022,7.84
Albania,ALB,2/16/2022,7.89
Albania,ALB,2/20/2022,8.03
Albania,ALB,2/27/2022,8.29
Albania,ALB,3/1/2022,8.37
Albania,ALB,3/7/2022,8.6
Albania,ALB,3/10/2022,8.7
Albania,ALB,3/14/2022,8.79
Albania,ALB,3/15/2022,8.83
Albania,ALB,3/24/2022,9.11
Albania,ALB,3/29/2022,9.27
Albania,ALB,3/31/2022,9.35
Albania,ALB,4/4/2022,9.48
Albania,ALB,4/7/2022,9.64
Albania,ALB,4/11/2022,9.77
Albania,ALB,4/14/2022,9.89
Albania,ALB,4/20/2022,10.03
Albania,ALB,4/24/2022,10.19
Albania,ALB,5/1/2022,10.35
Albania,ALB,5/15/2022,10.61
Albania,ALB,5/22/2022,10.74
Albania,ALB,5/29/2022,10.87
Albania,ALB,6/5/2022,10.99
Albania,ALB,6/19/2022,11.24
Albania,ALB,6/26/2022,11.37
Albania,ALB,7/10/2022,11.6
Albania,ALB,7/24/2022,11.85
Albania,ALB,7/31/2022,11.96
