dates,cumulative,daily
2022-01-16,127867,1166
2022-01-17,129032,1165
2022-01-18,130266,1234
2022-01-19,131955,1689
2022-01-20,133796,1841
2022-01-21,135670,1874
2022-01-22,137686,2016
2022-01-23,139960,2274
2022-01-24,142242,2282
2022-01-25,144981,2739
2022-01-26,148918,3937
2022-01-27,153378,4460
2022-01-28,157993,4615
2022-01-29,163145,5152
2022-01-30,168305,5160
2022-01-31,173556,5251
2022-02-01,179344,5788
2022-02-02,185434,6090
2022-02-03,192048,6614
2022-02-04,199307,7259
2022-02-05,208491,9184
2022-02-06,218373,9882
2022-02-07,227149,8776
2022-02-08,236396,9247
2022-02-09,248858,12462
2022-02-10,263110,14252
2022-02-11,277120,14010
2022-02-12,292031,14911
2022-02-13,307891,15860
2022-02-14,323993,16102
2022-02-15,341547,17554
2022-02-16,368292,26745
2022-02-17,396282,27990
2022-02-18,427043,30761
2022-02-19,455481,28438
2022-02-20,485437,29956
2022-02-21,512774,27337
2022-02-22,542148,29374
2022-02-23,588908,46760
2022-02-24,636318,47410
2022-02-25,680095,43777
2022-02-26,722366,42271
2022-02-27,764210,41844
2022-02-28,801121,36911
2022-03-01,838642,37521
2022-03-02,893391,54749
2022-03-03,945938,52547
2022-03-04,1012514,66576
2022-03-05,1080795,68281
2022-03-06,1140175,59380
2022-03-07,1194109,53934
2022-03-08,1252958,58849
2022-03-09,1348731,95773
2022-03-10,1437287,88556
2022-03-11,1512863,75576
2022-03-12,1612355,99492
2022-03-13,1703869,91514
2022-03-14,1783810,79941
2022-03-15,1885412,101602
2022-03-16,1994816,109404
2022-03-17,2152217,157401
2022-03-18,2254584,102367
2022-03-19,2353811,99227
2022-03-20,2441490,87679
2022-03-21,2500514,59024
2022-03-22,2606832,106318
2022-03-23,2741296,134464
2022-03-24,2842875,101579
2022-03-25,2927707,84832
2022-03-26,3014457,86750
2022-03-27,3094794,80337
2022-03-28,3147284,52490
2022-03-29,3246605,99321
2022-03-30,3355786,109181
2022-03-31,3433433,77647
2022-04-01,3500621,67188
2022-04-02,3562481,61860
2022-04-03,3617560,55079
2022-04-04,3651331,33771
2022-04-05,3721146,69815
2022-04-06,3788547,67401
2022-04-07,3838264,49717
2022-04-08,3884223,45959
2022-04-09,3925954,41731
2022-04-10,3962154,36200
2022-04-11,3985057,22903
2022-04-12,4034698,49641
2022-04-13,4077228,42530
2022-04-14,4108552,31324
2022-04-15,4134577,26025
2022-04-16,4156261,21684
2022-04-17,4175160,18899
2022-04-18,4187193,12033
2022-04-19,4213838,26645
2022-04-20,4236678,22840
2022-04-21,4254578,17900
2022-04-22,4270346,15768
2022-04-23,4284974,14628
2022-04-24,4297197,12223
2022-04-25,4305215,8018
2022-04-26,4321781,16566
2022-04-27,4336005,14224
2022-04-28,4346601,10596
2022-04-29,4355872,9271
2022-04-30,4363727,7855
2022-05-01,4371009,7282
2022-05-02,4375779,4770
2022-05-03,4386488,10709
2022-05-04,4395992,9504
2022-05-05,4404302,8310
2022-05-06,4409953,5651
2022-05-07,4417635,7682
2022-05-08,4425511,7876
2022-05-09,4430622,5111
2022-05-10,4441989,11367
2022-05-11,4451373,9384
2022-05-12,4459051,7678
2022-05-13,4465776,6725
2022-05-14,4471873,6097
2022-05-15,4477046,5173
2022-05-16,4480147,3101
2022-05-17,4487909,7762
2022-05-18,4494509,6600
2022-05-19,4500583,6074
2022-05-20,4505791,5208
2022-05-21,4510503,4712
2022-05-22,4514474,3971
2022-05-23,4516959,2485
2022-05-24,4522990,6031
2022-05-25,4528149,5159
2022-05-26,4532261,4112
2022-05-27,4535788,3527
2022-05-28,4538834,3046
2022-05-29,4541546,2712
2022-05-30,4543023,1477
2022-05-31,4546885,3862
2022-06-01,4550150,3265
2022-06-02,4552348,2198
2022-06-03,4554915,2567
2022-06-04,4557526,2611
2022-06-05,4559545,2019
2022-06-06,4560674,1129
2022-06-07,4562062,1388
2022-06-08,4564831,2769
2022-06-09,4567276,2445
2022-06-10,4569192,1916
2022-06-11,4570856,1664
2022-06-12,4572426,1570
2022-06-13,4573354,928
2022-06-14,4575519,2165
2022-06-15,4577385,1866
2022-06-16,4578980,1595
2022-06-17,4580432,1452
2022-06-18,4581817,1385
2022-06-19,4583057,1240
2022-06-20,4583904,847
2022-06-21,4585806,1902
2022-06-22,4587599,1793
2022-06-23,4589127,1528
2022-06-24,4590489,1362
2022-06-25,4591893,1404
2022-06-26,4593176,1283
2022-06-27,4593905,729
2022-06-28,4595946,2041
2022-06-29,4597875,1929
2022-06-30,4599739,1864
2022-07-01,4601628,1889
